L_kpc	mDM_GeV	R_GV	flux
1	7	4.99479411e+02	0.00000000e+00
1	7	5.08461817e+02	0.00000000e+00
1	7	5.17605757e+02	0.00000000e+00
1	7	5.26914139e+02	0.00000000e+00
1	7	5.36389918e+02	0.00000000e+00
1	7	5.46036104e+02	0.00000000e+00
1	7	5.55855764e+02	0.00000000e+00
1	7	5.65852015e+02	0.00000000e+00
1	7	5.76028035e+02	0.00000000e+00
1	7	5.86387055e+02	0.00000000e+00
1	7	5.96932368e+02	0.00000000e+00
1	7	6.07667322e+02	0.00000000e+00
1	7	6.18595328e+02	0.00000000e+00
1	7	6.29719859e+02	0.00000000e+00
1	7	6.41044448e+02	0.00000000e+00
1	7	6.52572693e+02	0.00000000e+00
1	7	6.64308257e+02	0.00000000e+00
1	7	6.76254868e+02	0.00000000e+00
1	7	6.88416321e+02	0.00000000e+00
1	7	7.00796480e+02	0.00000000e+00
1	7	7.13399278e+02	0.00000000e+00
1	7	7.26228719e+02	0.00000000e+00
1	7	7.39288879e+02	0.00000000e+00
1	7	7.52583906e+02	0.00000000e+00
1	7	7.66118025e+02	0.00000000e+00
1	7	7.79895536e+02	0.00000000e+00
1	7	7.93920814e+02	0.00000000e+00
1	7	8.08198317e+02	0.00000000e+00
1	7	8.22732580e+02	0.00000000e+00
1	7	8.37528220e+02	0.00000000e+00
1	7	8.52589938e+02	0.00000000e+00
1	7	8.67922519e+02	0.00000000e+00
1	7	8.83530834e+02	0.00000000e+00
1	7	8.99419842e+02	0.00000000e+00
1	7	9.15594590e+02	0.00000000e+00
1	7	9.32060218e+02	0.00000000e+00
1	7	9.48821955e+02	0.00000000e+00
1	7	9.65885128e+02	0.00000000e+00
1	7	9.83255157e+02	0.00000000e+00
1	7	1.00093756e+03	0.00000000e+00
1	9.6293012	1.37331724e-01	0.00000000e+00
1	9.6293012	1.39801434e-01	0.00000000e+00
1	9.6293012	1.42315558e-01	0.00000000e+00
1	9.6293012	1.44874895e-01	0.00000000e+00
1	9.6293012	1.47480258e-01	0.00000000e+00
1	9.6293012	1.50132474e-01	0.00000000e+00
1	9.6293012	1.52832387e-01	0.00000000e+00
1	9.6293012	1.55580853e-01	0.00000000e+00
1	9.6293012	1.58378747e-01	0.00000000e+00
1	9.6293012	1.61226957e-01	0.00000000e+00
1	9.6293012	1.64126387e-01	0.00000000e+00
1	9.6293012	1.67077960e-01	0.00000000e+00
1	9.6293012	1.70082612e-01	0.00000000e+00
1	9.6293012	1.73141299e-01	0.00000000e+00
1	9.6293012	1.76254991e-01	0.00000000e+00
1	9.6293012	1.79424679e-01	0.00000000e+00
1	9.6293012	1.82651369e-01	0.00000000e+00
1	9.6293012	1.85936087e-01	0.00000000e+00
1	9.6293012	1.89279875e-01	0.00000000e+00
1	9.6293012	1.92683796e-01	0.00000000e+00
1	9.6293012	1.96148932e-01	0.00000000e+00
1	9.6293012	1.99676383e-01	0.00000000e+00
1	9.6293012	2.03267270e-01	0.00000000e+00
1	9.6293012	2.06922734e-01	0.00000000e+00
1	9.6293012	2.10643936e-01	0.00000000e+00
1	9.6293012	2.14432059e-01	0.00000000e+00
1	9.6293012	2.18288306e-01	0.00000000e+00
1	9.6293012	2.22213901e-01	0.00000000e+00
1	9.6293012	2.26210092e-01	0.00000000e+00
1	9.6293012	2.30278150e-01	0.00000000e+00
1	9.6293012	2.34419365e-01	0.00000000e+00
1	9.6293012	2.38635054e-01	0.00000000e+00
1	9.6293012	2.42926555e-01	0.00000000e+00
1	9.6293012	2.47295234e-01	0.00000000e+00
1	9.6293012	2.51742476e-01	0.00000000e+00
1	9.6293012	2.56269696e-01	0.00000000e+00
1	9.6293012	2.60878331e-01	0.00000000e+00
